MLSNumber,Address,Status,SoldPrice,OriginalPrice,CurrentPrice,Last List Price,DOM,PMP,ListDate,StatusDate,Agreement of Sale/Signed Lease Date,SettledDate,Concessions YN,Concessions Remarks,SellerConcessionsAmount,FinalFinancing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC502798,1114 Braken Ave,Closed,"$224,900 ","$229,900 ","$224,900 ","$229,900 ",31,31,6/12/20,9/15/20,7/12/20,9/15/20,Yes,,"$8,500 ",FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC521912,2309 Katherine Ave,Closed,"$225,000 ","$225,000 ","$225,000 ",,6,6,3/6/21,4/22/21,3/11/21,4/22/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC507666,1223 Gilbert Ave,Closed,"$225,000 ","$220,000 ","$220,000 ",,11,11,8/21/20,10/12/20,8/31/20,10/9/20,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC503534,5405 Doral Dr,Closed,"$225,000 ","$225,000 ","$225,000 ",,4,4,6/19/20,8/10/20,6/22/20,8/10/20,Yes,,"$6,000 ",FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC501980,4613 Springers Ln,Closed,"$225,000 ","$225,000 ","$225,000 ",,2,2,5/26/20,7/24/20,5/27/20,7/24/20,No,,,FHA203k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC501462,2006 Duncan Rd,Closed,"$225,000 ","$239,000 ","$229,000 ","$239,000 ",38,38,5/18/20,8/14/20,7/1/20,8/13/20,Yes,,"$6,000 ",FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC507686,3818 Evelyn Dr,Closed,"$226,000 ","$224,900 ","$225,000 ","$237,000 ",11,11,8/21/20,10/27/20,9/11/20,10/23/20,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC508130,1522 Braken Ave,Closed,"$227,000 ","$225,000 ","$225,000 ",,27,27,9/3/20,10/27/20,9/26/20,10/27/20,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC507822,3813 Evelyn Dr,Closed,"$227,500 ","$239,900 ","$234,900 ","$239,900 ",46,46,9/12/20,2/11/21,1/5/21,2/11/21,Yes,,"$3,000 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC520716,3235 Brookline Rd,Closed,"$228,000 ","$225,000 ","$225,000 ",,3,3,2/14/21,3/16/21,2/16/21,3/16/21,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
