MLSNumber,Days_on_Market,Orig_List_Price,Month,Year,Zip_Code,SchoolDistrict,AnnualTax,LotAcres,SubdivisionNeighborhood,Municipality,Lot,OwnerOccupied,TotalLandAsmt,TotalBldgAsmt,PropertyClass,YearBuilt,Bedrooms,Baths,Basement_YN,Garage_YN,AboveGradeSqFt,BelowGradeSqFt,Condo/Coop_Assoc_YN,Central_Air_YN,HOA_YN,Age,Ownership,Structure_Type,InteriorSqFt,NumberofStories,DaysOnMarket_Buckets
DENC517490,4.0,289900.0,12,2020,19711,Christina,2491,0.2,Stafford,White Clay Creek Hundred,173,False,13500,46800,Residential,1989,3.0,2.0,Yes,Yes,1450.0,0.0,No,Yes,No,1989.0,FeeSimple,Detached,1450.0,Main,Less than 2 months
DENC525088,4.0,279900.0,4,2021,19711,Christina,2206,0.06,Green Valley,Mill Creek Hundred,188,True,9900,43500,Residential,1980,3.0,3.0,Yes,Yes,1650.0,300.0,No,Yes,No,1980.0,FeeSimple,Interior Row/Townhouse,1950.0,Main,Less than 2 months
DENC522626,5.0,245000.0,3,2021,19711,Christina,2789,0.15,Westfield,Newark City,25,True,11900,52200,Residential,1981,3.0,2.0,Yes,Yes,1400.0,0.0,No,Yes,No,1981.0,FeeSimple,Detached,1400.0,"Main,Upper1",Less than 2 months
DENC504800,11.0,290000.0,7,2020,19711,Christina,2541,0.24,Devon Place,Newark City,273,True,13300,45100,Residential,1963,4.0,2.0,Yes,No,1675.0,560.0,No,Yes,No,1963.0,FeeSimple,Detached,2235.0,"Lower1,Main",Less than 2 months
DENC504124,5.0,285000.0,7,2020,19711,Christina,3011,0.31,Devon,Newark City,94,True,18100,51100,Residential,1969,3.0,2.0,Yes,No,1176.0,375.0,No,Yes,No,1969.0,FeeSimple,Detached,1551.0,Main,Less than 2 months
DENC493346,14.0,299900.0,4,2020,19711,Christina,4095,0.41,Fairfield,Newark City,66,True,13800,80300,Residential,1965,4.0,3.0,Yes,Yes,2600.0,0.0,No,Yes,No,1965.0,FeeSimple,Detached,2600.0,"Main,Upper1",Less than 2 months
DENC504972,2.0,285000.0,7,2020,19711,Christina,2341,0.17,Binns,Newark City,46,True,9900,43900,Residential,1953,4.0,2.0,Yes,No,1825.0,459.0,No,Yes,No,1953.0,FeeSimple,Detached,2284.0,"Main,Upper1",Less than 2 months
DENC509236,4.0,269999.0,9,2020,19711,Christina,2793,0.22,Devon,Newark City,26,True,17300,46900,Residential,1971,4.0,2.0,Yes,Yes,1950.0,640.0,No,Yes,No,1971.0,FeeSimple,Detached,2590.0,Main,Less than 2 months
DENC508966,19.0,299900.0,9,2020,19711,Christina,3055,0.22,Fairfield Crest,Newark City,95,True,12700,57500,Residential,1961,4.0,2.0,Yes,Yes,1975.0,0.0,No,Yes,No,1961.0,FeeSimple,Detached,1975.0,"Main,Upper1",Less than 2 months
DENC501144,11.0,294500.0,5,2020,19711,Christina,3281,0.32,Chapel Hill,Mill Creek Hundred,66,True,15600,63800,Residential,1967,4.0,3.0,Yes,Yes,1700.0,0.0,No,Yes,No,1967.0,FeeSimple,Detached,1700.0,Main,Less than 2 months
