MLS Number,address_new,lat,lng
DENC511652,"2208 Wyncote  Wilmington, DE",39.7148678,-75.6702875
DENC511272,"24 Whitehall  Wilmington, DE",39.7233202,-75.6530616
DENC502628,"2218 W Saint Joseph  Wilmington, DE",39.7211091,-75.67001479999999
DENC500054,"5 E Kenmore  Wilmington, DE",39.7483499,-75.6487889
DENC524096,"1 Albertson  Wilmington, DE",39.7391006,-75.6273326
DENC523824,"4836 Plum Run  Wilmington, DE",39.7343225,-75.7020522
DENC523226,"3002 Charing Cross Apt 22 Wilmington, DE",39.7477043,-75.696376
DENC518778,"5303 Pinehurst  Wilmington, DE",39.731103,-75.697413
DENC517436,"2009 Lynch  Wilmington, DE",39.7061168,-75.67887689999999
DENC505656,"1902 E Zabenko  Wilmington, DE",39.7142999,-75.6676514
DENC505228,"4530 Shady  Wilmington, DE",39.7207327,-75.653198
DENC505072,"141 Steven  Wilmington, DE",39.7450677,-75.7030178
DENC505072,"141 Steven  Wilmington, DE",39.7450677,-75.7030178
DENC2012494,"141 Steven  Wilmington, DE",39.7450677,-75.7030178
DENC2012494,"141 Steven  Wilmington, DE",39.7450677,-75.7030178
DENC504912,"2008 Lynch  Wilmington, DE",39.7059313,-75.6792859
DENC500810,"37 Whitehall  Wilmington, DE",39.7232287,-75.6523343
DENC517760,"4657 Bailey  Wilmington, DE",39.7238321,-75.66624250000001
DENC523028,"2470 Hammond  Wilmington, DE",39.7336704,-75.6566069
DENC516974,"1 Marta Drive  Wilmington, DE",39.7064496,-75.68049959999999
DENC499614,"538 Southampton  Wilmington, DE",39.744655,-75.5483909
DENC520688,"5 Dartmouth  Wilmington, DE",39.7381306,-75.6478343
DENC518402,"18 E Marta  Wilmington, DE",39.7074867,-75.6784679
DENC517478,"2214 Wyncote  Wilmington, DE",39.715331,-75.6704577
DENC504088,"2132 Barr  Wilmington, DE",39.7211404,-75.6576978
DENC502162,"2437 W Eric  Wilmington, DE",39.7313684,-75.65869769999999
DENC518502,"13 Byrd  Wilmington, DE",39.744655,-75.5483909
DENC503514,"4804 Hogan  Wilmington, DE",39.736618,-75.70126499999999
DENC505550,"195 Steven  Wilmington, DE",39.746828,-75.70242999999999
DENC502730,"147 Steven  Wilmington, DE",39.744655,-75.5483909
DENC523610,"8 Center  Wilmington, DE",39.7281975,-75.5445848
DENC506182,"320 Nicholas  Wilmington, DE",39.7032621,-75.6781498
DENC522770,"1308 Braken Apt 91 Wilmington, DE",39.7477322,-75.6952948
DENC519970,"3208 Charing Cross Apt 15 Wilmington, DE",39.7470096,-75.6969592
DENC512964,"4622 Bailey  Wilmington, DE",39.7257787,-75.66728789999999
DENC510870,"2603 Pike Creek  Wilmington, DE",39.7131979,-75.6857617
DENC504250,"2308 Saint Francis  Wilmington, DE",39.72276799999999,-75.667197
DENC502846,"518 Southampton  Wilmington, DE",39.744655,-75.5483909
DENC501718,"2106 Nicholby  Wilmington, DE",39.7262795,-75.6561979
DENC501514,"44 Yearsley  Wilmington, DE",39.7496679,-75.6580159
DENC519984,"2504 Duncan  Wilmington, DE",39.737812,-75.6431069
DENC517904,"2117 Armour  Wilmington, DE",39.71920550000001,-75.6605158
DENC524594,"9 St Thomas  Wilmington, DE",39.744655,-75.5483909
DENC509496,"627 Dandenog  Wilmington, DE",39.748781,-75.66333
DENC511076,"1910 E Zabenko  Wilmington, DE",39.7148796,-75.66692429999999
DENC505436,"2513 Emerson  Wilmington, DE",39.7180084,-75.6780134
DENC524090,"2511 Dean  Wilmington, DE",39.7438523,-75.6277872
DENC523110,"2709 Skylark  Wilmington, DE",39.7528514,-75.6306513
DENC522916,"10 Dorking  Wilmington, DE",39.7265937,-75.65869769999999
DENC518266,"2607 Baxter  Wilmington, DE",39.7458895,-75.6320606
DENC517110,"4408 Old Capitol  Wilmington, DE",39.7254185,-75.6537434
DENC511138,"135 Steven  Wilmington, DE",39.7448674,-75.7028361
DENC505628,"5801 Stone Pine  Wilmington, DE",39.7394502,-75.70486939999999
DENC502176,"2420 Owen  Wilmington, DE",39.7322626,-75.6549402
DENC500720,"2708 Barnsley  Wilmington, DE",39.722176,-75.68260339999999
DENC499182,"4806 Hogan  Wilmington, DE",39.736591,-75.701399
DENC505202,"2128 Nicholby  Wilmington, DE",39.7252686,-75.6585159
DENC503196,"2422 Owen  Wilmington, DE",39.744655,-75.5483909
DENC498416,"990 Glackens  Wilmington, DE",39.7467682,-75.7062779
DENC500842,"2413 E Parris  Wilmington, DE",39.7329642,-75.6491071
DENC512366,"5522 Doral  Wilmington, DE",39.7305264,-75.7004165
DENC512294,"5420 Pinehurst  Wilmington, DE",39.7311058,-75.69937139999999
DENC510346,"2410 Darnay  Wilmington, DE",39.7265265,-75.6660153
DENC505732,"2207 W Saint Joseph  Wilmington, DE",39.7217011,-75.67001479999999
DENC517144,"2629 Crossgates  Wilmington, DE",39.7509837,-75.6596977
DENC519976,"2213 E Huntington  Wilmington, DE",39.7143699,-75.6691513
DENC518648,"4820 Plum Run  Wilmington, DE",39.734829,-75.701084
DENC517224,"2105 Saint Francis  Wilmington, DE",39.7218775,-75.6711055
DENC510956,"173 Steven  Wilmington, DE",39.744655,-75.5483909
DENC507596,"2721 Pickering  Wilmington, DE",39.72122040000001,-75.68473929999999
DENC506354,"16 Carsdale  Wilmington, DE",39.7370814,-75.6674242
DENC507960,"2611 Fogg  Wilmington, DE",39.7367048,-75.6611294
DENC506106,"4641 Griffin  Wilmington, DE",39.7220246,-75.6641064
DENC517092,"433 Woodstock  Wilmington, DE",39.7457158,-75.6838866
DENC506082,"5541 Doral  Wilmington, DE",39.7302274,-75.7000085
DENC503140,"2619 Turnstone  Wilmington, DE",39.7515663,-75.62765089999999
DENC518576,"827 N Waterford  Wilmington, DE",39.7486425,-75.68314869999999
DENC509652,"858 N Waterford  Wilmington, DE",39.7489175,-75.6843189
DENC505574,"2602 Sheen  Wilmington, DE",39.7338771,-75.6588795
DENC519422,"5305 Pinehurst  Wilmington, DE",39.731115,-75.6974989
DENC2000008,"135 Attic  Wilmington, DE",39.7445248,-75.6993146
DENC519006,"19 Alcott  Wilmington, DE",39.7161081,-75.67796799999999
DENC518928,"4853 Plum Run  Wilmington, DE",39.7334885,-75.7023249
DENC517832,"852 N Waterford  Wilmington, DE",39.749044,-75.684069
DENC516870,"825 N Waterford  Wilmington, DE",39.748571,-75.68309599999999
DENC510592,"1102 Mckennans Church  Wilmington, DE",39.7384598,-75.6623793
DENC507962,"204 Cayman  Wilmington, DE",39.748301,-75.68157699999999
DENC503838,"2719 Bardell  Wilmington, DE",39.739687,-75.6649245
DENC502576,"2625 Whitman  Wilmington, DE",39.718501,-75.6794223
DENC501818,"6010 Madeline  Wilmington, DE",39.7090096,-75.6786497
