MLSNumber,Days_on_Market,Orig_List_Price,Month,Year,Zip_Code,SchoolDistrict,AnnualTax,LotAcres,SubdivisionNeighborhood,Municipality,Lot,TotalLandAsmt,TotalBldgAsmt,YearBuilt,Bedrooms,Baths,Garage_YN,AboveGradeSqFt,BelowGradeSqFt,Age,Structure_Type,InteriorSqFt,NumberofStories,DaysOnMarket_Buckets
DENC517408,7.0,247900.0,11,2020,13,4,2573,0.04,533,4,293,20000,58000,111,2.0,3.0,1,1600.0,0.0,1986.0,4,1600.0,12,1
DENC505992,14.0,250000.0,7,2020,13,4,2025,0.19,337,4,767,12100,49300,91,3.0,2.0,2,1875.0,618.0,1966.0,1,2493.0,11,1
DENC502848,4.0,239900.0,6,2020,13,4,2098,0.11,385,4,781,10500,53100,101,3.0,2.0,2,0.0,0.0,1976.0,2,0.0,27,1
DENC517542,3.0,239900.0,12,2020,13,4,1672,0.15,264,4,369,10500,40200,84,3.0,2.0,1,1700.0,570.0,1959.0,1,2270.0,11,1
DENC512400,15.0,265000.0,11,2020,13,4,2309,0.06,184,4,783,9300,60700,111,2.0,3.0,2,1850.0,504.0,1986.0,4,2354.0,12,1
DENC508204,3.0,235000.0,8,2020,13,4,551,0.18,309,4,360,8000,40700,102,3.0,2.0,2,1125.0,0.0,1977.0,1,1125.0,11,1
DENC502158,3.0,240000.0,5,2020,13,4,1603,0.14,84,4,762,6300,42300,87,3.0,2.0,1,1125.0,300.0,1962.0,1,1425.0,12,1
DENC508476,7.0,234900.0,9,2020,13,4,2197,0.07,184,4,363,10400,56200,105,3.0,3.0,1,1575.0,250.0,1980.0,4,1825.0,5,1
DENC523874,5.0,229900.0,4,2021,13,4,1530,0.24,160,4,590,8300,38100,79,4.0,2.0,2,1500.0,0.0,1954.0,1,1500.0,27,1
DENC517754,3.0,239900.0,12,2020,13,4,2642,0.05,533,4,335,22100,58000,113,2.0,3.0,2,1650.0,184.0,1988.0,4,1834.0,27,1
DENC499872,37.0,249900.0,4,2020,13,4,1880,0.23,148,4,759,11100,45900,83,3.0,2.0,2,1425.0,273.0,1958.0,1,1698.0,28,1
DENC505060,13.0,249900.0,7,2020,13,4,2121,0.16,520,4,472,15700,48600,110,3.0,2.0,1,1500.0,0.0,1985.0,1,1500.0,27,1
DENC523916,2.0,234900.0,4,2021,13,4,2329,0.05,184,4,570,8600,62000,110,2.0,3.0,1,1900.0,0.0,1985.0,4,1900.0,12,1
DENC523336,6.0,235000.0,4,2021,13,4,1676,0.15,185,2,422,9400,41400,85,3.0,1.0,1,1000.0,0.0,1960.0,1,1000.0,26,1
DENC510198,6.0,245000.0,10,2020,13,4,2009,0.19,280,4,717,9500,51400,86,3.0,2.0,2,1500.0,0.0,1961.0,1,1500.0,11,1
DENC502980,24.0,260000.0,6,2020,13,4,2612,0.05,533,4,275,22100,57100,113,3.0,3.0,1,1475.0,0.0,1988.0,4,1475.0,12,1
DENC500324,75.0,265000.0,4,2020,13,4,3219,0.17,283,4,683,28100,69500,118,3.0,2.0,2,1700.0,330.0,1993.0,2,2030.0,27,2
DENC501922,3.0,235000.0,5,2020,13,4,2154,0.18,60,4,355,11900,53400,91,3.0,3.0,2,1875.0,420.0,1966.0,1,2295.0,27,1
DENC501074,23.0,247500.0,5,2020,13,4,2401,0.17,184,4,394,11400,61400,103,4.0,2.0,1,1975.0,656.0,1978.0,2,2631.0,4,1
DENC502326,4.0,239999.0,6,2020,13,4,1725,0.29,281,4,433,12100,40200,81,3.0,2.0,2,1450.0,572.0,1956.0,1,2022.0,26,1
DENC524374,0.0,250000.0,4,2021,13,4,1418,0.17,138,2,751,7200,35800,65,3.0,2.0,1,1400.0,0.0,1940.0,1,1400.0,27,1
DENC521594,4.0,235000.0,3,2021,13,4,2078,0.07,184,4,391,9900,53100,103,3.0,2.0,1,1475.0,0.0,1978.0,4,1475.0,12,1
DENC518582,1.0,265900.0,2,2021,13,4,3081,0.0,476,4,257,15500,77900,112,2.0,2.0,1,0.0,0.0,1987.0,9,0.0,26,1
DENC518650,8.0,250000.0,12,2020,13,4,2695,0.06,533,4,279,23600,58100,113,2.0,3.0,1,1450.0,0.0,1988.0,4,1450.0,27,1
DENC512722,11.0,188000.0,11,2020,13,4,2045,0.27,445,4,285,13200,48800,84,4.0,2.0,2,1875.0,623.0,1959.0,1,2498.0,5,1
DENC512084,35.0,274900.0,10,2020,13,4,1652,0.15,158,4,362,8600,41500,103,4.0,2.0,1,1150.0,0.0,1978.0,1,1150.0,12,1
DENC511666,1.0,240000.0,10,2020,13,4,1995,0.25,280,4,586,11100,49400,78,3.0,2.0,2,1725.0,0.0,1953.0,1,1725.0,27,1
DENC511004,3.0,250000.0,10,2020,13,4,1864,0.21,264,4,766,11500,45000,82,3.0,2.0,2,1162.0,588.0,1957.0,1,1750.0,11,1
DENC501862,1.0,250000.0,5,2020,13,4,2335,0.2,228,4,754,14100,56700,89,4.0,2.0,2,2000.0,664.0,1964.0,1,2664.0,12,1
DENC498786,12.0,239999.0,3,2020,13,4,2655,0.05,533,4,782,22100,58400,112,3.0,3.0,1,1475.0,0.0,1987.0,4,1475.0,13,1
DENC517190,8.0,279900.0,11,2020,13,4,2391,0.24,74,2,754,15200,57300,91,3.0,3.0,2,0.0,0.0,1966.0,1,0.0,26,1
DENC512534,5.0,249900.0,11,2020,13,4,2645,0.05,533,4,769,22100,58100,112,2.0,3.0,2,1650.0,184.0,1987.0,4,1834.0,13,1
DENC509920,7.0,255000.0,9,2020,13,4,1468,0.12,185,2,514,9400,35100,85,3.0,1.0,1,1375.0,432.0,1960.0,1,1807.0,26,1
DENC511208,12.0,239900.0,10,2020,13,4,1217,0.08,17,2,315,5300,31600,59,3.0,3.0,1,2000.0,0.0,1934.0,1,2000.0,27,1
DENC509770,6.0,249000.0,10,2020,13,4,2045,0.15,306,4,493,11700,50300,86,3.0,2.0,2,2050.0,666.0,1961.0,1,2716.0,11,1
DENC505268,5.0,249900.0,7,2020,13,4,1897,0.25,185,2,447,11100,46400,85,3.0,1.0,1,1500.0,475.0,1960.0,1,1975.0,11,1
DENC504370,9.0,255000.0,7,2020,13,4,2342,0.2,393,4,364,12700,58300,85,4.0,2.0,1,1775.0,356.0,1960.0,1,2131.0,11,1
DENC504172,44.0,265000.0,7,2020,13,4,1389,0.13,263,4,749,6600,35500,81,3.0,2.0,1,1275.0,0.0,1956.0,1,1275.0,26,1
DENC518736,7.0,249900.0,12,2020,13,4,2127,0.15,308,4,310,11700,52800,101,4.0,3.0,1,2300.0,0.0,1976.0,1,2300.0,11,1
DENC502990,33.0,274900.0,6,2020,13,4,1969,0.16,306,4,471,11800,47900,86,3.0,2.0,2,1275.0,675.0,1961.0,1,1950.0,11,1
DENC520832,18.0,274900.0,2,2021,13,4,1916,0.18,306,4,413,11900,46200,88,3.0,2.0,2,1225.0,0.0,1963.0,1,1225.0,11,1
DENC518054,3.0,259900.0,12,2020,13,4,1804,0.2,306,4,537,12100,42600,86,3.0,2.0,1,1850.0,600.0,1961.0,1,2450.0,11,1
DENC507544,6.0,259900.0,8,2020,13,4,1883,0.18,306,4,479,11900,45200,86,3.0,2.0,1,1275.0,0.0,1961.0,1,1275.0,11,1
DENC523178,6.0,199900.0,3,2021,13,4,2157,0.19,444,4,276,12000,53400,84,3.0,2.0,2,2050.0,0.0,1959.0,1,2050.0,28,1
DENC522706,14.0,259900.0,3,2021,13,4,1451,0.17,263,4,470,7900,36100,81,3.0,1.0,2,1075.0,0.0,1956.0,1,1075.0,26,1
DENC522466,12.0,269900.0,3,2021,13,4,2137,0.33,214,4,476,13300,51500,86,3.0,2.0,2,1675.0,0.0,1961.0,1,1675.0,26,1
DENC503184,8.0,254900.0,7,2020,13,4,1873,0.18,263,4,607,7200,49600,81,3.0,2.0,2,1575.0,1050.0,1956.0,1,2625.0,12,1
DENC509278,4.0,250000.0,9,2020,13,4,3292,0.29,451,4,745,17100,82700,91,3.0,3.0,2,1775.0,0.0,1966.0,1,1775.0,26,1
DENC508528,7.0,249900.0,9,2020,13,4,1827,0.15,185,2,626,10400,45000,85,3.0,2.0,1,1300.0,248.0,1960.0,1,1548.0,11,1
DENC509890,5.0,255000.0,9,2020,13,4,1626,0.15,6,2,759,11100,38200,86,3.0,2.0,1,1675.0,546.0,1961.0,1,2221.0,11,1
DENC519792,2.0,260000.0,1,2021,13,4,2625,0.23,10,4,667,15800,63800,95,4.0,3.0,2,1800.0,0.0,1970.0,1,1800.0,12,1
DENC507850,3.0,259000.0,9,2020,13,4,1913,0.2,510,2,311,12100,45900,85,3.0,2.0,1,1700.0,570.0,1960.0,1,2270.0,11,1
DENC501244,6.0,259900.0,6,2020,13,4,1982,0.49,163,4,330,13600,46500,85,3.0,2.0,1,1700.0,569.0,1960.0,1,2269.0,11,1
DENC499874,34.0,269000.0,4,2020,13,4,2480,0.87,129,4,725,17400,57800,75,4.0,3.0,1,1800.0,0.0,1950.0,1,1800.0,26,1
DENC523992,9.0,284900.0,4,2021,13,4,2154,0.32,214,4,527,14500,50800,85,4.0,3.0,1,1975.0,722.0,1959.0,1,2697.0,29,1
DENC521572,16.0,314900.0,3,2021,13,4,2358,0.33,97,4,240,10200,61300,119,3.0,3.0,2,1575.0,0.0,1994.0,1,1575.0,26,1
DENC521126,5.0,260000.0,2,2021,13,4,3348,0.13,283,4,292,26500,75000,118,2.0,3.0,2,1825.0,325.0,1993.0,2,2150.0,27,1
DENC519780,3.0,255000.0,2,2021,13,4,2652,0.05,533,4,328,22100,58300,111,2.0,3.0,2,1475.0,0.0,1986.0,4,1475.0,12,1
DENC519702,7.0,265000.0,1,2021,13,4,2002,0.23,444,4,237,12300,48400,81,3.0,2.0,2,1825.0,0.0,1956.0,1,1825.0,27,1
DENC507654,3.0,259900.0,9,2020,13,4,2302,0.11,184,4,374,10500,59300,104,3.0,2.0,2,1550.0,0.0,1979.0,2,1550.0,26,1
DENC507868,3.0,265000.0,8,2020,13,4,1613,0.28,310,2,330,10600,38300,95,2.0,2.0,2,900.0,450.0,1970.0,1,1350.0,11,1
DENC506164,4.0,275000.0,8,2020,13,4,3094,0.07,283,4,596,24000,69800,118,2.0,2.0,2,1650.0,330.0,1993.0,4,1980.0,28,1
DENC504290,53.0,269000.0,7,2020,13,4,1946,0.2,69,4,525,12700,46300,90,4.0,3.0,1,1575.0,0.0,1965.0,1,1575.0,27,1
DENC503704,12.0,260000.0,6,2020,13,4,1715,0.22,263,4,223,7400,44600,81,3.0,2.0,2,1425.0,572.0,1956.0,1,1997.0,12,1
DENC502098,3.0,259900.0,6,2020,13,4,1946,0.21,280,4,341,10100,48900,87,4.0,2.0,2,1875.0,400.0,1962.0,1,2275.0,12,1
DENC510674,38.0,315000.0,10,2020,13,4,3292,0.31,452,4,492,21600,78200,91,4.0,3.0,2,2325.0,0.0,1966.0,1,2325.0,27,1
DENC512772,19.0,274900.0,11,2020,13,4,2414,0.18,148,4,311,11300,61900,82,3.0,2.0,2,1675.0,0.0,1957.0,1,1675.0,26,1
DENC510948,63.0,275000.0,10,2020,13,4,3325,0.21,283,4,586,29700,71100,118,2.0,2.0,2,1700.0,330.0,1993.0,2,2030.0,28,2
DENC518896,4.0,259900.0,1,2021,13,4,2124,0.34,164,4,276,10300,54100,83,3.0,2.0,1,2225.0,744.0,1958.0,1,2969.0,26,1
DENC521652,38.0,279900.0,3,2021,13,4,1873,0.36,164,4,222,10400,46400,75,3.0,1.0,1,1500.0,0.0,1950.0,1,1500.0,27,1
DENC521392,1.0,269900.0,2,2021,13,4,1870,0.23,185,2,691,7500,49200,85,3.0,2.0,1,1525.0,480.0,1960.0,1,2005.0,11,1
DENC511652,14.0,269900.0,10,2020,13,4,1943,0.16,393,4,323,11800,47100,85,3.0,2.0,1,1550.0,300.0,1960.0,1,1850.0,11,1
DENC511272,3.0,269900.0,10,2020,13,4,1834,0.21,264,4,760,11500,44100,88,3.0,2.0,2,1450.0,0.0,1963.0,1,1450.0,26,1
DENC502628,5.0,265000.0,6,2020,13,4,2315,0.19,520,4,639,16000,54200,109,3.0,3.0,2,1850.0,0.0,1984.0,1,1850.0,27,1
DENC500054,17.0,269900.0,4,2020,13,4,1837,0.3,250,4,222,12900,42800,80,3.0,2.0,2,1550.0,620.0,1955.0,1,2170.0,12,1
DENC524096,8.0,254900.0,4,2021,13,4,1639,0.2,6,2,425,10300,39400,86,3.0,2.0,1,1218.0,1096.0,1961.0,1,2314.0,11,1
DENC523824,6.0,265000.0,4,2021,13,4,2602,0.08,397,4,301,19400,59500,106,3.0,3.0,2,2075.0,416.0,1981.0,4,2491.0,12,1
DENC523226,4.0,254900.0,3,2021,13,4,3813,0.0,40,4,127,17300,98300,115,3.0,2.0,2,0.0,0.0,1990.0,2,0.0,27,1
DENC518778,5.0,279900.0,1,2021,13,4,2635,0.07,184,4,416,9900,70000,106,3.0,3.0,2,2450.0,525.0,1981.0,4,2975.0,13,1
DENC517436,6.0,259900.0,11,2020,13,4,1956,0.17,163,4,683,11200,48100,85,3.0,2.0,2,1311.0,614.0,1960.0,1,1925.0,11,1
DENC505656,12.0,265000.0,7,2020,13,4,1930,0.18,601,4,381,15900,42600,112,3.0,3.0,2,1650.0,0.0,1987.0,1,1650.0,27,1
DENC505228,1.0,275000.0,7,2020,13,4,1963,0.23,264,4,264,11600,47900,79,3.0,2.0,2,1450.0,1454.0,1954.0,1,2904.0,26,1
DENC504912,8.0,270000.0,7,2020,13,4,1916,0.2,163,4,607,11400,46700,85,3.0,2.0,2,1925.0,614.0,1960.0,1,2539.0,11,1
DENC500810,2.0,264900.0,5,2020,13,4,2180,0.2,264,4,742,11400,54700,81,3.0,3.0,2,2125.0,383.0,1956.0,1,2508.0,12,1
DENC517760,4.0,250000.0,12,2020,13,4,1930,0.38,280,4,577,12500,46000,78,3.0,1.0,1,1184.0,0.0,1953.0,1,1184.0,26,1
DENC523028,6.0,265000.0,3,2021,13,4,1296,0.2,263,4,509,8100,31200,81,3.0,2.0,1,1250.0,0.0,1956.0,1,1250.0,26,1
DENC516974,6.0,272500.0,11,2020,13,4,1844,0.2,163,4,469,11400,44500,85,3.0,2.0,1,1700.0,569.0,1960.0,1,2269.0,11,1
DENC499614,45.0,279000.0,4,2020,13,4,3064,0.06,349,4,501,23600,69300,120,2.0,3.0,2,1200.0,350.0,1995.0,4,1550.0,27,1
DENC520688,5.0,260000.0,2,2021,13,4,2385,0.25,129,4,395,15100,57200,78,3.0,2.0,2,1425.0,0.0,1953.0,1,1425.0,11,1
DENC518402,8.0,274900.0,12,2020,13,4,1920,0.17,163,4,772,11200,47000,85,3.0,2.0,1,1925.0,614.0,1960.0,1,2539.0,11,1
DENC517478,7.0,260000.0,12,2020,13,4,1920,0.16,393,4,320,11800,46400,85,3.0,2.0,1,1550.0,300.0,1960.0,1,1850.0,11,1
DENC504088,16.0,279000.0,6,2020,13,4,2068,0.16,148,4,397,10600,52100,82,3.0,2.0,2,1675.0,0.0,1957.0,1,1675.0,12,1
DENC502162,3.0,274900.0,5,2020,13,4,2259,0.16,306,4,434,11800,56700,88,3.0,2.0,1,1250.0,1200.0,1963.0,1,2450.0,11,1
DENC518502,5.0,275000.0,1,2021,13,4,2022,0.23,148,4,337,11600,49700,82,3.0,2.0,2,1425.0,273.0,1957.0,1,1698.0,12,1
DENC503514,12.0,282000.0,6,2020,13,4,2385,0.1,397,4,265,21600,50700,100,3.0,3.0,1,1718.0,682.0,1975.0,2,2400.0,12,1
