MLSNumber,Orig_List_Price,Zip_Code,Subdivision,School_District,HOA_YN,Structure_Type,Acres,InteriorSqFt,AboveGradeSqFt,BelowGradeSqFt,Bedrooms,Baths,BathsFull,Design,Style,NumberofStories,Central_Air_YN,Cooling,PrimaryHeat,HeatDelivery,HotWater,Water,Sewer,Basement_YN,Garage_YN,ExteriorMaterial,LotFrontage,LotDepth,LotSqFt,LotAcres,YearBuilt,Sold_Price,Days_on_Market,PC1,PC2,PC3,Class
DENC2013550,215000.0,19720,CHELSEA ESTATES,Colonial,No,Detached,0.17,1475.0,1475.0,0.0,3.0,1.0,1.0,One,Rancher,Main,No,DuctlessMiniSplit,NaturalGas,HotWater,NaturalGas,Public,PublicSewer,No,Yes,"AluminumSiding,VinylSiding",73.0,100.0,7405,0.17,1952,200200.0,20.0,-4.846611085733291,-3.6263676737691943,2.8083073054499006,1
DENC524106,219900.0,19720,ROGERS MANOR,Colonial,No,Detached,0.19,2405.0,1550.0,855.0,3.0,2.0,1.0,TwoandaHalf,SplitLevel,"Lower1,Main,Upper1,Upper2",No,WallUnit,NaturalGas,HotWater,NaturalGas,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",65.0,125.0,8276,0.19,1960,201825.0,11.0,-2.875096203846137,-0.2566143293327248,4.0950841930791615,2
DENC2016870,192000.0,19720,OVERVIEW GARDENS,Colonial,No,Detached,0.16,1788.0,1275.0,513.0,3.0,1.0,1.0,Two,"Colonial,SplitLevel","Lower1,Main,Upper1",Yes,CentralAC,Oil,ForcedAir,"Electric,Other",Public,PublicSewer,Yes,Yes,"AluminumSiding,Stone",68.0,100.0,6970,0.16,1956,202000.0,11.0,-1.3488683653709415,-2.966818837505373,-0.7667637447493909,1
DENC2004654,214900.0,19720,MANOR PARK,Colonial,No,Detached,0.15,1000.0,1000.0,0.0,3.0,1.0,1.0,One,Rancher,Main,No,None,NaturalGas,ForcedAir,Electric,Public,PublicSewer,No,No,Asbestos,60.0,110.0,6534,0.15,1953,203000.0,22.0,-5.727053174348519,-4.816194457129907,2.6881025263243163,1
DENC2010140,210000.0,19720,CASTLE HILLS,Colonial,No,Detached,0.15,900.0,900.0,0.0,3.0,1.0,1.0,One,Rancher,Main,No,None,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,VinylSiding,60.0,110.0,6534,0.15,1956,204000.0,18.0,-5.074704771979906,-3.7806932126259345,2.7067854269994656,1
DENC2009434,194500.0,19720,COLLINS PARK,Colonial,No,Detached,0.14,1000.0,1000.0,0.0,3.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,Electric,HeatPumpElectricBackUp,Electric,Public,PublicSewer,No,No,VinylSiding,50.0,120.0,6098,0.14,1947,204500.0,5.0,-4.380265602957106,-5.111662851344163,-1.4960955971049916,1
DENC2017482,200000.0,19720,MEADOWS OF WILTON,Colonial,Yes,Interior Row/Townhouse,0.05,1275.0,1275.0,0.0,2.0,2.0,1.0,Three,Contemporary,Main,Yes,CentralAC,NaturalGas,ForcedAir,Tankless,Public,PublicSewer,Yes,No,"AluminumSiding,VinylSiding",20.0,108.4,2178,0.05,1988,205000.0,8.0,-3.0762694512138515,-0.20110953287314562,-3.405591222535639,3
DENC2017690,214000.0,19720,MANOR PARK,Colonial,Yes,Detached,0.21,1000.0,1000.0,0.0,3.0,1.0,1.0,One,Rancher,Main,No,"CeilingFans,WindowUnits",NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,No,No,"Concrete,VinylSiding",73.9,154.4,9148,0.21,1953,205000.0,9.0,-5.008280471187478,-4.359816524137376,2.1535317301563164,1
DENC2014420,204900.0,19720,MAPLE HILL,Colonial,Yes,Twin/Semi-Detached,0.05,2125.0,2125.0,0.0,2.0,2.0,2.0,One,Rancher,"Lower1,Main",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,No,Frame,34.8,50.0,2178,0.05,1975,205000.0,61.0,-2.5011603779814444,-2.3015650915507875,-1.6300455749150267,1
DENC2010062,189900.0,19720,BUENA VISTA PARK,Colonial,No,Interior Row/Townhouse,0.06,2125.0,1425.0,700.0,3.0,3.0,2.0,Two,Contemporary,"Lower1,Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PrivateSewer,Yes,No,"AluminumSiding,VinylSiding",20.0,119.4,2614,0.06,1989,205000.0,7.0,-1.3798703171876177,-0.10588968569215403,-2.934472236958222,3
