Orig_List_Price,Zip_Code,Subdivision,School_District,HOA_YN,Structure_Type,Acres,InteriorSqFt,AboveGradeSqFt,BelowGradeSqFt,Bedrooms,Baths,NumberofStories,Central_Air_YN,Water,Basement_YN,Garage_YN,ExteriorMaterial,YearBuilt
239900.0,13,17,4,1,1,0.08,2000.0,2000.0,0.0,3.0,3.0,27,2,12,2,1,69,63
249000.0,13,317,4,1,1,0.15,2716.0,2050.0,666.0,3.0,2.0,11,2,12,2,2,141,90
249900.0,13,191,4,2,1,0.25,1975.0,1500.0,475.0,3.0,1.0,11,2,12,2,1,193,89
255000.0,13,406,4,1,1,0.2,2131.0,1775.0,356.0,4.0,2.0,11,1,12,2,1,183,89
265000.0,13,278,4,1,1,0.13,1275.0,1275.0,0.0,3.0,2.0,26,2,12,1,1,69,85
249900.0,13,322,4,1,1,0.15,2300.0,2300.0,0.0,4.0,3.0,11,2,12,2,1,193,105
274900.0,13,317,4,1,1,0.16,1950.0,1275.0,675.0,3.0,2.0,11,2,12,2,2,141,90
274900.0,13,317,4,1,1,0.18,1225.0,1225.0,0.0,3.0,2.0,11,2,12,2,2,141,92
259900.0,13,317,4,1,1,0.2,2450.0,1850.0,600.0,3.0,2.0,11,2,12,2,1,193,90
259900.0,13,317,4,1,1,0.18,1275.0,1275.0,0.0,3.0,2.0,11,2,12,2,1,43,90
199900.0,13,461,4,1,1,0.19,2050.0,2050.0,0.0,3.0,2.0,28,1,12,2,2,24,88
259900.0,13,278,4,1,1,0.17,1075.0,1075.0,0.0,3.0,1.0,26,2,12,1,2,69,85
269900.0,13,220,4,1,1,0.33,1675.0,1675.0,0.0,3.0,2.0,26,2,12,2,2,73,90
254900.0,13,278,4,1,1,0.18,2625.0,1575.0,1050.0,3.0,2.0,12,2,12,2,2,43,85
250000.0,13,466,4,1,1,0.29,1775.0,1775.0,0.0,3.0,3.0,26,2,12,2,2,73,95
249900.0,13,191,4,1,1,0.15,1548.0,1300.0,248.0,3.0,2.0,11,2,12,2,1,43,89
255000.0,13,7,4,1,1,0.15,2221.0,1675.0,546.0,3.0,2.0,11,2,12,2,1,43,90
260000.0,13,11,4,2,1,0.23,1800.0,1800.0,0.0,4.0,3.0,12,2,12,2,2,193,99
259000.0,13,528,4,1,1,0.2,2270.0,1700.0,570.0,3.0,2.0,11,2,12,2,1,141,89
284900.0,13,220,4,1,1,0.32,2697.0,1975.0,722.0,4.0,3.0,29,2,12,2,1,193,89
314900.0,13,99,4,1,1,0.33,1575.0,1575.0,0.0,3.0,3.0,26,2,12,2,2,69,123
260000.0,13,297,4,2,2,0.13,2150.0,1825.0,325.0,2.0,3.0,27,2,12,2,2,291,122
255000.0,13,553,4,2,3,0.05,1475.0,1475.0,0.0,2.0,3.0,12,2,12,2,2,193,115
265000.0,13,460,4,1,1,0.23,1825.0,1825.0,0.0,3.0,2.0,27,2,12,1,2,193,85
259900.0,13,190,4,1,2,0.11,1550.0,1550.0,0.0,3.0,2.0,26,2,12,2,2,43,108
265000.0,13,322,4,1,1,0.28,1350.0,900.0,450.0,2.0,2.0,11,2,12,2,2,43,99
275000.0,13,296,4,2,3,0.07,1980.0,1650.0,330.0,2.0,2.0,28,2,7,2,2,291,122
269000.0,13,73,4,1,1,0.2,1575.0,1575.0,0.0,4.0,3.0,27,2,12,2,1,73,94
260000.0,13,278,4,2,1,0.22,1997.0,1425.0,572.0,3.0,2.0,12,2,12,2,2,193,85
315000.0,13,467,4,1,1,0.31,2325.0,2325.0,0.0,4.0,3.0,27,2,12,2,2,193,95
274900.0,13,151,4,1,1,0.18,1675.0,1675.0,0.0,3.0,2.0,26,1,12,2,2,193,86
275000.0,13,297,4,2,2,0.21,2030.0,1700.0,330.0,2.0,2.0,28,2,12,2,2,193,122
259900.0,13,170,4,1,1,0.34,2969.0,2225.0,744.0,3.0,2.0,26,1,12,2,1,141,87
279900.0,13,168,4,1,1,0.36,1500.0,1500.0,0.0,3.0,1.0,27,2,12,1,1,291,79
269900.0,13,191,4,1,1,0.23,2005.0,1525.0,480.0,3.0,2.0,11,2,12,2,1,43,89
269900.0,13,406,4,1,1,0.16,1850.0,1550.0,300.0,3.0,2.0,11,2,12,2,1,183,89
269900.0,13,279,4,1,1,0.21,1450.0,1450.0,0.0,3.0,2.0,26,2,12,2,2,164,92
265000.0,13,538,4,2,1,0.19,1850.0,1850.0,0.0,3.0,3.0,27,2,12,2,2,69,113
254900.0,13,7,4,1,1,0.2,2314.0,1218.0,1096.0,3.0,2.0,11,2,12,2,1,141,90
265000.0,13,412,4,2,3,0.08,2491.0,2075.0,416.0,3.0,3.0,12,2,12,2,2,43,110
254900.0,13,44,4,1,2,0.0,0.0,0.0,0.0,3.0,2.0,27,2,12,1,2,43,119
279900.0,13,190,4,2,3,0.07,2975.0,2450.0,525.0,3.0,3.0,13,2,12,2,2,164,110
259900.0,13,168,4,2,1,0.17,1925.0,1311.0,614.0,3.0,2.0,11,2,12,2,2,24,89
265000.0,13,619,4,2,1,0.18,1650.0,1650.0,0.0,3.0,3.0,27,2,9,1,2,69,116
275000.0,13,279,4,1,1,0.23,2904.0,1450.0,1454.0,3.0,2.0,26,2,12,2,2,51,83
270000.0,13,168,4,1,1,0.2,2539.0,1925.0,614.0,3.0,2.0,11,2,12,2,2,141,89
264900.0,13,279,4,1,1,0.2,2508.0,2125.0,383.0,3.0,3.0,12,2,12,2,2,68,85
250000.0,13,294,4,2,1,0.38,1184.0,1184.0,0.0,3.0,1.0,26,2,12,2,1,141,82
265000.0,13,278,4,1,1,0.2,1250.0,1250.0,0.0,3.0,2.0,26,2,12,1,1,291,85
272500.0,13,168,4,1,1,0.2,2269.0,1700.0,569.0,3.0,2.0,11,2,12,2,1,141,89
