,MLSNumber,Days_on_Market,Orig_List_Price,Month,Year,Zip_Code,SchoolDistrict,AnnualTax,LotAcres,SubdivisionNeighborhood,Municipality,Lot,OwnerOccupied,TotalLandAsmt,TotalBldgAsmt,PropertyClass,YearBuilt,Bedrooms,Baths,Basement_YN,Garage_YN,AboveGradeSqFt,BelowGradeSqFt,Condo/Coop_Assoc_YN,Central_Air_YN,HOA_YN,Age,Ownership,Structure_Type,InteriorSqFt,NumberofStories,DaysOnMarket_Buckets,Predicted_DOM
1032,DENC508246,1.0,335000.0,10,2020,19806,Red Clay Consolidated,3315,0.04,Wilm #12,Wilmington City,213,True,6600,65800,Residential,1920.0,3.0,2.0,Yes,No,1675.0,0.0,No,Yes,No,1920.0,FeeSimple,Twin/Semi-Detached,1675.0,"Main,Upper1",Less than 2 months,More than 2 months
1033,DENC506138,3.0,335000.0,8,2020,19806,Red Clay Consolidated,4080,0.06,Wilm #11,Wilmington City,128,True,13600,75500,Residential,1940.0,3.0,3.0,Yes,Yes,1750.0,534.0,No,No,No,1940.0,FeeSimple,Twin/Semi-Detached,2284.0,"Lower1,Main,Upper1",Less than 2 months,More than 2 months
1034,DENC507682,8.0,345000.0,9,2020,19806,Red Clay Consolidated,4534,0.05,Trolley Square,Wilmington City,305,False,16500,82500,Residential,1997.0,3.0,3.0,No,Yes,2725.0,0.0,No,Yes,No,1997.0,FeeSimple,End of Row/Townhouse,2725.0,"Upper1,Upper2",Less than 2 months,More than 2 months
1035,DENC509086,3.0,300000.0,9,2020,19806,Red Clay Consolidated,2537,0.05,Wilm #12,Wilmington City,200,True,8100,47300,Residential,1901.0,2.0,2.0,Yes,No,1375.0,0.0,No,Yes,No,1901.0,FeeSimple,Twin/Semi-Detached,1375.0,Main,Less than 2 months,More than 2 months
1036,DENC508522,75.0,358000.0,9,2020,19806,Red Clay Consolidated,3256,0.09,Wilm #13,Wilmington City,34,True,11100,60000,Residential,1925.0,4.0,2.0,Yes,Yes,1650.0,0.0,No,No,No,1925.0,FeeSimple,Twin/Semi-Detached,1650.0,"Main,Upper1,Upper2",More than 2 months,More than 2 months
1037,DENC511228,18.0,339900.0,10,2020,19806,Red Clay Consolidated,3943,0.08,Wilm #11,Wilmington City,43,True,11700,74400,Residential,1900.0,4.0,4.0,Yes,No,2500.0,0.0,No,Yes,No,1900.0,FeeSimple,End of Row/Townhouse,2500.0,"Main,Upper1,Upper2",Less than 2 months,More than 2 months
1038,DENC507476,5.0,342000.0,8,2020,19806,Red Clay Consolidated,3183,0.03,Wilm #11,Wilmington City,3,True,9900,59600,Residential,1940.0,3.0,2.0,Yes,No,1400.0,0.0,No,Yes,No,1940.0,FeeSimple,Twin/Semi-Detached,1400.0,"Main,Upper1",Less than 2 months,More than 2 months
1039,DENC509816,1.0,349000.0,9,2020,19806,Red Clay Consolidated,3805,0.06,Wilm #11,Wilmington City,133,True,13600,69500,Residential,1940.0,3.0,2.0,Yes,No,1225.0,0.0,No,Yes,No,1940.0,FeeSimple,Twin/Semi-Detached,1225.0,Main,Less than 2 months,More than 2 months
1040,DENC507240,105.0,349900.0,8,2020,19806,Red Clay Consolidated,2693,0.05,Wilm #11,Wilmington City,85,True,10900,47900,Residential,1900.0,3.0,2.0,Yes,No,1650.0,0.0,No,No,No,1900.0,FeeSimple,Twin/Semi-Detached,1650.0,"Main,Upper1",More than 2 months,More than 2 months
1041,DENC521890,11.0,350000.0,3,2021,19806,Red Clay Consolidated,3031,0.03,Wilm #10,Wilmington City,48,True,12800,53400,Residential,1920.0,2.0,2.0,Yes,No,1125.0,0.0,No,Yes,No,1920.0,FeeSimple,End of Row/Townhouse,1125.0,"Lower1,Main,Upper1",Less than 2 months,More than 2 months
1042,DENC519200,1.0,350000.0,1,2021,19806,Red Clay Consolidated,3883,0.11,Wilm #13,Wilmington City,27,True,18800,66000,Residential,1919.0,5.0,2.0,Yes,Yes,1625.0,0.0,No,No,No,1919.0,FeeSimple,Twin/Semi-Detached,1625.0,"Main,Upper1,Upper2",Less than 2 months,More than 2 months
1043,DENC509300,72.0,414000.0,9,2020,19806,Red Clay Consolidated,6461,0.0,Park Plaza,Wilmington City,069.C.0320,False,27900,113200,Residential,,3.0,2.0,Yes,No,0.0,0.0,Yes,Yes,No,1986.0,Condominium,Unit/Flat/Apartment,0.0,Main,More than 2 months,More than 2 months
1044,DENC503002,15.0,365000.0,6,2020,19806,Brandywine,3396,0.0,Brandywine Park,Brandywine Hundred,001.C.A307,True,17500,78500,Residential,1994.0,2.0,2.0,No,No,0.0,0.0,Yes,Yes,No,1994.0,Condominium,Unit/Flat/Apartment,0.0,Main,Less than 2 months,More than 2 months
1045,DENC519082,17.0,339900.0,1,2021,19806,Red Clay Consolidated,4199,0.04,Trolley Square,Wilmington City,307,False,14900,76800,Residential,1996.0,3.0,3.0,Yes,Yes,2300.0,458.0,No,Yes,No,1996.0,FeeSimple,Interior Row/Townhouse,2758.0,"Lower1,Main,Upper1",Less than 2 months,More than 2 months
1046,DENC510160,1.0,354900.0,10,2020,19806,Red Clay Consolidated,3563,0.04,Wilm #13,Wilmington City,141,True,9800,68000,Residential,1910.0,3.0,2.0,Yes,No,1525.0,0.0,No,Yes,No,1910.0,FeeSimple,Twin/Semi-Detached,1525.0,"Main,Upper1",Less than 2 months,More than 2 months
1047,DENC508766,5.0,339900.0,9,2020,19806,Red Clay Consolidated,2564,0.05,Wilm #13,Wilmington City,8,True,10800,45200,Residential,1914.0,3.0,2.0,Yes,No,1325.0,0.0,No,Yes,No,1914.0,FeeSimple,Twin/Semi-Detached,1325.0,"Main,Upper1",Less than 2 months,More than 2 months
1048,DENC511590,12.0,350000.0,10,2020,19806,Red Clay Consolidated,4149,0.05,Wilm #11,Wilmington City,103,True,9400,81200,Residential,1924.0,4.0,2.0,Yes,No,2025.0,0.0,No,Yes,No,1924.0,FeeSimple,Twin/Semi-Detached,2025.0,"Main,Upper1,Upper2",Less than 2 months,More than 2 months
1049,DENC510328,50.0,379000.0,10,2020,19806,Red Clay Consolidated,4634,0.04,Wilm #13,Wilmington City,26,True,13600,87600,Residential,1900.0,3.0,3.0,Yes,No,1827.0,181.0,No,Yes,Yes,1900.0,FeeSimple,Twin/Semi-Detached,2008.0,"Main,Upper1,Upper2",Less than 2 months,More than 2 months
1050,DENC524138,5.0,355000.0,4,2021,19806,Red Clay Consolidated,3013,0.04,Wilm #12,Wilmington City,134,False,8500,57300,Residential,1907.0,4.0,2.0,Yes,No,2175.0,0.0,No,Yes,No,1907.0,FeeSimple,Twin/Semi-Detached,2175.0,"Main,Upper1,Upper2",Less than 2 months,More than 2 months
1051,DENC521370,22.0,389900.0,2,2021,19806,Red Clay Consolidated,3352,0.05,Wilm #13,Wilmington City,127,True,10800,62400,Residential,1920.0,3.0,2.0,Yes,No,1625.0,860.0,No,No,No,1920.0,FeeSimple,Twin/Semi-Detached,2485.0,"Main,Upper1",Less than 2 months,More than 2 months
1052,DENC518568,7.0,360000.0,12,2020,19806,Red Clay Consolidated,2839,0.07,Wilm #13,Wilmington City,106,True,10700,51300,Residential,1900.0,3.0,2.0,Yes,No,1275.0,0.0,No,No,No,1900.0,FeeSimple,Twin/Semi-Detached,1275.0,"Main,Upper1",Less than 2 months,More than 2 months
1053,DENC508894,46.0,399500.0,9,2020,19806,Red Clay Consolidated,3402,0.05,Wilm #13,Wilmington City,106,True,11200,63100,Residential,1931.0,3.0,2.0,Yes,Yes,1400.0,150.0,No,No,No,1931.0,FeeSimple,Twin/Semi-Detached,1550.0,"Lower1,Main,Upper1",Less than 2 months,More than 2 months
1054,DENC504546,9.0,345000.0,7,2020,19806,Red Clay Consolidated,3311,0.04,Wilm #12,Wilmington City,147,False,7700,64600,Residential,1925.0,3.0,3.0,Yes,No,1950.0,0.0,No,Yes,No,1925.0,FeeSimple,Twin/Semi-Detached,1950.0,"Main,Upper1",Less than 2 months,More than 2 months
1055,DENC520444,4.0,349900.0,2,2021,19806,Red Clay Consolidated,3119,0.06,Wilm #13,Wilmington City,90,True,10500,57600,Residential,1898.0,3.0,2.0,Yes,No,1425.0,0.0,No,Yes,No,1898.0,FeeSimple,Twin/Semi-Detached,1425.0,"Main,Upper1",Less than 2 months,More than 2 months
1056,DENC504712,68.0,419000.0,7,2020,19806,Red Clay Consolidated,3407,0.06,Wilm #13,Wilmington City,123,True,11600,62800,Residential,1920.0,3.0,2.0,Yes,No,0.0,0.0,No,No,No,1920.0,FeeSimple,Twin/Semi-Detached,0.0,"Lower1,Main,Upper1",More than 2 months,More than 2 months
1057,DENC517584,8.0,365000.0,12,2020,19806,Red Clay Consolidated,5724,0.18,Wilm #13,Wilmington City,56,True,31500,93500,Residential,1979.0,2.0,3.0,Yes,Yes,1450.0,180.0,No,Yes,No,1978.0,FeeSimple,Detached,1630.0,"Lower1,Main",Less than 2 months,More than 2 months
1058,DENC508862,5.0,365000.0,9,2020,19806,Red Clay Consolidated,2500,0.07,Wilm #12,Wilmington City,79,True,7900,46700,Residential,1873.0,3.0,2.0,Yes,No,1500.0,0.0,No,Yes,No,1873.0,FeeSimple,End of Row/Townhouse,1500.0,"Main,Upper1",Less than 2 months,More than 2 months
1059,DENC508026,2.0,365000.0,8,2020,19806,Red Clay Consolidated,6498,0.06,Henry Clay Village,Wilmington City,28,True,20100,121800,Residential,1983.0,3.0,4.0,Yes,Yes,2000.0,0.0,No,Yes,No,1983.0,FeeSimple,Twin/Semi-Detached,2000.0,"Main,Upper1,Upper2",Less than 2 months,More than 2 months
1060,DENC504720,7.0,365000.0,7,2020,19806,Red Clay Consolidated,2995,0.02,Wilm #12,Wilmington City,237,True,4200,61200,Residential,2008.0,3.0,3.0,Yes,No,1775.0,0.0,No,Yes,No,2008.0,FeeSimple,Interior Row/Townhouse,1775.0,"Main,Upper1,Upper2",Less than 2 months,More than 2 months
1061,DENC497564,55.0,375000.0,3,2020,19806,Red Clay Consolidated,6388,0.06,Cool Spring,Wilmington City,123,False,17600,121900,Residential,1978.0,3.0,4.0,Yes,Yes,1825.0,0.0,No,Yes,Yes,1978.0,FeeSimple,Interior Row/Townhouse,1825.0,"Lower1,Main,Upper1,Upper2",Less than 2 months,More than 2 months
1062,DENC520050,43.0,395000.0,2,2021,19806,Red Clay Consolidated,6145,0.0,Park Plaza,Wilmington City,069.C.0702,True,24500,109700,Residential,,2.0,2.0,No,No,1487.0,0.0,Yes,Yes,No,0.0,FeeSimple,Unit/Flat/Apartment,1487.0,Main,Less than 2 months,More than 2 months
1063,DENC510454,68.0,379900.0,9,2020,19806,Red Clay Consolidated,6223,0.04,Westhill,Wilmington City,94,True,17000,118900,Residential,1988.0,3.0,3.0,Yes,Yes,2675.0,204.0,Yes,Yes,No,1988.0,FeeSimple,Interior Row/Townhouse,2879.0,"Main,Upper1",More than 2 months,More than 2 months
